Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,710346359,,,,710346359,,408774187,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,66846179,,,,66846179,,26526475,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,32,Argentina,ARG,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,11071407,,,,11071407,,8510629,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,1867263,,,,1867263,,1424461,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,70,Bosnia Herzegovina,BIH,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,12977257,,,,12977257,,11470379,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,2352485,,,,2352485,,2420385,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,42708364,,,,42708364,,12835999,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,152,Chile,CHL,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,27321540,,,,27321540,,20845503,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,100160200,,,,100160200,,62665477,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,888287,,,,888287,,370184,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,801560,,,,801560,,656730,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,5073,,,,5073,,22632,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,878832,,,,878832,,106420,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,410,Rep. of Korea,KOR,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,31950,,,,31950,,45450,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,417,Kyrgyzstan,KGZ,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,425488,,,,425488,,420493,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,422,Lebanon,LBN,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,63321,,,,63321,,63260,,,0
