Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,1278550803,,,,1278550803,,796599766,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,54553927,,,,54553927,,26299202,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,32,Argentina,ARG,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,29536831,,,,29536831,,26863192,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,1056,,,,1056,,1056,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,4457090,,,,4457090,,4676948,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,7452,,,,7452,,8626,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,23160513,,,,23160513,,23465271,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,70,Bosnia Herzegovina,BIH,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,94107,,,,94107,,59152,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,960542,,,,960542,,808460,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,25417541,,,,25417541,,13917531,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,124,Canada,CAN,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,62566,,,,62566,,98352,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,152,Chile,CHL,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,35274834,,,,35274834,,28113340,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,126314404,,,,126314404,,71662036,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,191,Croatia,HRV,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,1239032,,,,1239032,,1015352,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,203,Czechia,CZE,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,709640,,,,709640,,740689,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,38464422,,,,38464422,,41758020,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,66460,,,,66460,,35603,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,22845685,,,,22845685,,22911429,,,0
