Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,23672673,,,,23672673,,84937027,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,28,,,,28,,580,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,68,Bolivia (Plurinational State of),BOL,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,559955,,,,559955,,3609416,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,336644,,,,336644,,1944824,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,3,,,,3,,31,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,167894,,,,167894,,379530,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,152,Chile,CHL,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,15214,,,,15214,,22517,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,47601,,,,47601,,266619,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,170,Colombia,COL,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,1475,,,,1475,,2478,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,188,Costa Rica,CRI,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,20462,,,,20462,,34412,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,214,Dominican Rep.,DOM,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,841,,,,841,,1414,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,65,,,,65,,682,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,9072,,,,9072,,138868,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,360,Indonesia,IDN,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,4365763,,,,4365763,,7326657,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,354,,,,354,,1860,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,35,,,,35,,107,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,384,Côte d'Ivoire,CIV,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,1706858,,,,1706858,,2406215,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,3,,,,3,,15,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,176,,,,176,,2033,,,0
