Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0802,"Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,13701827,,,,13701827,,93672245,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried",8,Weight in kilograms,10790965,,,,10790965,,14364337,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0805,Citrus fruit; fresh or dried,8,Weight in kilograms,3620235,,,,3620235,,3120966,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0806,Grapes; fresh or dried,8,Weight in kilograms,31151181,,,,31151181,,53752380,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0807,Melons (including watermelons) and papaws (papayas); fresh,8,Weight in kilograms,1190251,,,,1190251,,1188044,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0808,"Apples, pears and quinces; fresh",8,Weight in kilograms,35500,,,,35500,,21655,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",8,Weight in kilograms,2552106,,,,2552106,,2973672,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0810,"Fruit, fresh; n.e.c. in chapter 08",8,Weight in kilograms,10860887,,,,10860887,,14615172,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",8,Weight in kilograms,317065,,,,317065,,930109,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0802,"Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,6856870,,,,6856870,,50933923,,,0
