Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,27874376,,,,27874376,,14625308,,,6
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,13275614,,,,13275614,,3165529,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,146417,,,,146417,,372385,,,6
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,1438140,,,,1438140,,1423014,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,1249,,,,1249,,1878,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,4946640,,,,4946640,,3826349,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,42900,,,,42900,,10696,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,417,Kyrgyzstan,KGZ,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,18586,,,,18586,,3848,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,528,Netherlands,NLD,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,5828830,,,,5828830,,4666075,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,396000,,,,396000,,168555,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,792,Turkey,TUR,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,1000000,,,,1000000,,483743,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,826,United Kingdom,GBR,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,780000,,,,780000,,503233,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,536210561,,,,536210561,,206441386,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,57134919,,,,57134919,,25708427,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,301810,,,,301810,,107865,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,46686260,,,,46686260,,9357982,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,74315839,,,,74315839,,36198410,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,250500,,,,250500,,112199,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,821745,,,,821745,,526503,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,13618035,,,,13618035,,7916519,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,640,,,,640,,2114,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,463469,,,,463469,,128030,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,417,Kyrgyzstan,KGZ,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,46925,,,,46925,,23540,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,496,Mongolia,MNG,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,691683,,,,691683,,128083,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,498,Rep. of Moldova,MDA,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,743500,,,,743500,,237348,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,504,Morocco,MAR,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,5176040,,,,5176040,,2712822,,,0
