Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,320808,,,,320808,,1031748,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,185,,,,185,,1612,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,7525,,,,7525,,1258,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,144,Sri Lanka,LKA,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,1,,,,1,,6,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,5506,,,,5506,,5429,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,31,,,,31,,489,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,484,Mexico,MEX,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,7916,,,,7916,,5857,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,604,Peru,PER,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,168775,,,,168775,,195038,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,764,Thailand,THA,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,130869,,,,130869,,822056,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,20853460,,,,20853460,,16942310,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,467816,,,,467816,,521709,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,210293,,,,210293,,184496,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,70,Bosnia Herzegovina,BIH,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,5980,,,,5980,,16490,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,12372272,,,,12372272,,4507050,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,3859510,,,,3859510,,6128180,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,214,Dominican Rep.,DOM,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,4,,,,4,,14,,,0
