Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,071410,"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,2615,,,,2615,,4739,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,566,Nigeria,NGA,,,,,,,,071410,"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,2615,,,,2615,,4739,,,0
H5,2018,2018,2018,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,071410,"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,2608,,,,2608,,4727,,,0
H5,2018,2018,2018,6,1,1,Import,643,Russian Federation,RUS,566,Nigeria,NGA,,,,,,,,071410,"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,2608,,,,2608,,4727,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,071410,"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,2811,,,,2811,,9184,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,071410,"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,550,,,,550,,4617,,,0
H5,2019,2019,2019,6,1,1,Import,643,Russian Federation,RUS,566,Nigeria,NGA,,,,,,,,071410,"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,2261,,,,2261,,4567,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,476655,,,,476655,,272059,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,5270,,,,5270,,2476,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,15720,,,,15720,,2485,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,130277,,,,130277,,60722,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,340,Honduras,HND,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,149078,,,,149078,,79471,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,50202,,,,50202,,57549,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,90,,,,90,,314,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,1775,,,,1775,,490,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,558,Nicaragua,NIC,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,4771,,,,4771,,2242,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,686,Senegal,SEN,,,,,,,,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",8,Weight in kilograms,24054,,,,24054,,11305,,,0
