Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,461124113,,,,461124113,,227534754,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,58629551,,,,58629551,,30454690,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,1000,,,,1000,,400,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,20000,,,,20000,,11391,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,50,Bangladesh,BGD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,567000,,,,567000,,211098,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,707780,,,,707780,,386923,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,700,,,,700,,294,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,5010666,,,,5010666,,867445,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,124,Canada,CAN,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,23835,,,,23835,,22349,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,152,Chile,CHL,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,12,,,,12,,5,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,51613735,,,,51613735,,24504063,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,170,Colombia,COL,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,18,,,,18,,8,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,188,Costa Rica,CRI,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,1755,,,,1755,,574,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,191,Croatia,HRV,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,6270,,,,6270,,3950,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,203,Czechia,CZE,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,283000,,,,283000,,206689,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,3052700,,,,3052700,,895626,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,379950,,,,379950,,163634,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,22155550,,,,22155550,,8880141,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,42180199,,,,42180199,,19516214,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,24621453,,,,24621453,,15131617,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,300,Greece,GRC,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,23587,,,,23587,,14864,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,340,Honduras,HND,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,407,,,,407,,171,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,348,Hungary,HUN,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,19600,,,,19600,,13328,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,3477273,,,,3477273,,1963926,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,26611378,,,,26611378,,14930806,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,106386,,,,106386,,62820,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,422,Lebanon,LBN,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,1000000,,,,1000000,,512500,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,33045,,,,33045,,39967,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,4139594,,,,4139594,,1500496,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,498,Rep. of Moldova,MDA,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,7313368,,,,7313368,,2366931,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,504,Morocco,MAR,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,3648410,,,,3648410,,1644970,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,528,Netherlands,NLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,53165875,,,,53165875,,28784183,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,586,Pakistan,PAK,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,21428576,,,,21428576,,9234150,,,0
