Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0802,"Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,3093842,,,,3093842,,29853668,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0803,"Bananas, including plantains; fresh or dried",8,Weight in kilograms,220,,,,220,,1332,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried",8,Weight in kilograms,9421678,,,,9421678,,9666709,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0805,Citrus fruit; fresh or dried,8,Weight in kilograms,118469,,,,118469,,106657,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0806,Grapes; fresh or dried,8,Weight in kilograms,14900776,,,,14900776,,23526778,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0807,Melons (including watermelons) and papaws (papayas); fresh,8,Weight in kilograms,3981041,,,,3981041,,3932824,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0808,"Apples, pears and quinces; fresh",8,Weight in kilograms,801560,,,,801560,,656730,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",8,Weight in kilograms,1818880,,,,1818880,,2270473,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0810,"Fruit, fresh; n.e.c. in chapter 08",8,Weight in kilograms,40221101,,,,40221101,,50222367,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",8,Weight in kilograms,50552,,,,50552,,240549,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0802,"Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,3835847,,,,3835847,,39695236,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0803,"Bananas, including plantains; fresh or dried",8,Weight in kilograms,81,,,,81,,486,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried",8,Weight in kilograms,8666354,,,,8666354,,11715652,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0805,Citrus fruit; fresh or dried,8,Weight in kilograms,6133391,,,,6133391,,5813976,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0806,Grapes; fresh or dried,8,Weight in kilograms,19019143,,,,19019143,,29024641,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0807,Melons (including watermelons) and papaws (papayas); fresh,8,Weight in kilograms,6566460,,,,6566460,,7310807,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0808,"Apples, pears and quinces; fresh",8,Weight in kilograms,60587570,,,,60587570,,37561449,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",8,Weight in kilograms,4604278,,,,4604278,,5586969,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0810,"Fruit, fresh; n.e.c. in chapter 08",8,Weight in kilograms,56205792,,,,56205792,,69963550,,,0
H5,2018,2018,2018,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",8,Weight in kilograms,84738,,,,84738,,518575,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,35,,,,35,,360,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0802,"Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,6018655,,,,6018655,,62023983,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0803,"Bananas, including plantains; fresh or dried",8,Weight in kilograms,1104,,,,1104,,2941,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried",8,Weight in kilograms,7536744,,,,7536744,,10815024,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0805,Citrus fruit; fresh or dried,8,Weight in kilograms,10158275,,,,10158275,,9671499,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0806,Grapes; fresh or dried,8,Weight in kilograms,20757651,,,,20757651,,32906045,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0807,Melons (including watermelons) and papaws (papayas); fresh,8,Weight in kilograms,8140261,,,,8140261,,8872920,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0808,"Apples, pears and quinces; fresh",8,Weight in kilograms,7352959,,,,7352959,,4557025,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",8,Weight in kilograms,18734668,,,,18734668,,24931046,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0810,"Fruit, fresh; n.e.c. in chapter 08",8,Weight in kilograms,55292184,,,,55292184,,68727762,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0813,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",8,Weight in kilograms,126609,,,,126609,,468133,,,0
H5,2019,2019,2019,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0814,"Peel of citrus fruit or melons (including watermelons); fresh, frozen dried or provisionally preserved in brine, in sulphur water or in other preservative solutions",8,Weight in kilograms,17512,,,,17512,,22219,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0802,"Nuts (excluding coconuts, Brazils and cashew nuts); fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,2216457,,,,2216457,,22286413,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0803,"Bananas, including plantains; fresh or dried",8,Weight in kilograms,55,,,,55,,1444,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried",8,Weight in kilograms,8226563,,,,8226563,,8370754,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0805,Citrus fruit; fresh or dried,8,Weight in kilograms,2115259,,,,2115259,,1292960,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0806,Grapes; fresh or dried,8,Weight in kilograms,11432766,,,,11432766,,16576269,,,0
H4,2015,2015,2015,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,0807,Melons (including watermelons) and papaws (papayas); fresh,8,Weight in kilograms,2492042,,,,2492042,,2384559,,,0
